epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5212450623512268,0.5310326218605042,1.0299232006072998,1e-04,0.5188491940498352,0.5337313413619995,0.8006221652030945
1,0.5266798138618469,0.5353277325630188,0.9660041928291321,1e-04,0.5163690447807312,0.6039391756057739,0.7981414198875427
2,0.5371788740158081,0.5505927801132202,0.9179468154907227,1e-04,0.5714285969734192,0.6160731315612793,0.761681854724884
3,0.5361906886100769,0.5526195764541626,0.8831387758255005,1e-04,0.5014880895614624,0.6183815598487854,0.8198599815368652
4,0.5256916880607605,0.5432164669036865,0.8700256943702698,1e-04,0.5634920597076416,0.6470276117324829,0.75057452917099
5,0.5331027507781982,0.5451722145080566,0.8548266887664795,1e-04,0.6111111044883728,0.6450976133346558,0.717705249786377
6,0.5254446864128113,0.548345148563385,0.8388557434082031,1e-04,0.5823412537574768,0.6153857707977295,0.7258685231208801
7,0.5402668118476868,0.5603213906288147,0.8214387893676758,1e-04,0.555059552192688,0.6460264325141907,0.7505295276641846
8,0.5471838116645813,0.5636803507804871,0.8081774711608887,5e-05,0.576884925365448,0.6430286765098572,0.7115488648414612
9,0.5591650009155273,0.5791398286819458,0.7891941070556641,5e-05,0.5466269850730896,0.6222305297851562,0.784881591796875
10,0.5473073124885559,0.5633308291435242,0.7984236478805542,5e-05,0.5828372836112976,0.659408688545227,0.7167813777923584
11,0.5524950623512268,0.5718495845794678,0.7839149832725525,2.5e-05,0.6215277910232544,0.6500290632247925,0.712653398513794
12,0.5550889372825623,0.5764790177345276,0.7822471261024475,2.5e-05,0.617559552192688,0.6568593382835388,0.7071676254272461
13,0.5528656244277954,0.5785578489303589,0.7804223895072937,2.5e-05,0.5942460298538208,0.6573389768600464,0.7138507962226868
14,0.5594120621681213,0.5741902589797974,0.784330427646637,2.5e-05,0.5947420597076416,0.6568685173988342,0.7078102231025696
15,0.5596590638160706,0.579994797706604,0.7745527625083923,1.25e-05,0.6016865372657776,0.6424099206924438,0.7081552147865295
16,0.542119562625885,0.5665281414985657,0.782095730304718,1.25e-05,0.586309552192688,0.6475352644920349,0.7119876146316528
17,0.553236186504364,0.5680382251739502,0.7895863056182861,6.25e-06,0.6121031641960144,0.6657187938690186,0.7002790570259094
18,0.5658349990844727,0.5844557285308838,0.7702634930610657,6.25e-06,0.6185516119003296,0.6574408411979675,0.6971651911735535
19,0.5486660003662109,0.5764250755310059,0.7731707096099854,6.25e-06,0.610615074634552,0.6714091300964355,0.7002676129341125
20,0.5615118741989136,0.5849283933639526,0.7675520181655884,6.25e-06,0.6339285969734192,0.6708774566650391,0.6949629187583923
21,0.5587944388389587,0.580742359161377,0.7695791721343994,6.25e-06,0.5803571343421936,0.637817919254303,0.7128347754478455
22,0.5569416880607605,0.5704242587089539,0.7802187204360962,6.25e-06,0.5808531641960144,0.632938802242279,0.7119898200035095
23,0.5633646249771118,0.5849272012710571,0.7646260857582092,3.125e-06,0.6036706566810608,0.6706653833389282,0.694858193397522
24,0.5512598752975464,0.570165753364563,0.7789757251739502,3.125e-06,0.6121031641960144,0.6692050695419312,0.6960428357124329
