epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5130928754806519,0.5122314691543579,0.9439499378204346,1e-04,0.4985119104385376,0.5157187581062317,0.8110868334770203
1,0.5250741243362427,0.5402786731719971,0.8920621275901794,9.140576e-05,0.543154776096344,0.5783135890960693,0.7997809648513794
2,0.5119812488555908,0.5233100652694702,0.9001909494400024,1e-05,0.5625,0.5831803679466248,0.7948371171951294
3,0.5192687511444092,0.5248432755470276,0.8971796035766602,4.1094223e-05,0.5729166865348816,0.593511700630188,0.7926103472709656
4,0.5276679992675781,0.5374148488044739,0.8755752444267273,1.8594232e-05,0.5500991940498352,0.561413586139679,0.8000742197036743
5,0.5167984366416931,0.5270405411720276,0.8901587724685669,9.0999994e-05,0.5739087462425232,0.613174557685852,0.7848183512687683
6,0.529644250869751,0.5427412986755371,0.8631821274757385,8.901778e-05,0.5709325671195984,0.6100047826766968,0.7902708649635315
7,0.5339673757553101,0.5391663312911987,0.8608633279800415,8.3265186e-05,0.5580357313156128,0.58579021692276,0.7894067168235779
8,0.5166748762130737,0.5269752740859985,0.8628648519515991,7.43053e-05,0.5739087462425232,0.6082332730293274,0.7827600836753845
9,0.5260622501373291,0.5385572910308838,0.8494489789009094,6.301519e-05,0.5540674328804016,0.5762593746185303,0.7985922694206238
10,0.5313735008239746,0.5479236245155334,0.8374233245849609,5.049999e-05,0.5605158805847168,0.5898891687393188,0.7906671762466431
11,0.5212450623512268,0.5290531516075134,0.847503125667572,3.7984802e-05,0.5734127163887024,0.6005597114562988,0.7844086289405823
12,0.5181571245193481,0.5306969881057739,0.8413957953453064,2.6694688e-05,0.5565476417541504,0.5982482433319092,0.7818245887756348
13,0.5271739363670349,0.533416211605072,0.8418790102005005,1.7734816e-05,0.5615079402923584,0.5871540307998657,0.7860521674156189
14,0.5395256876945496,0.5562460422515869,0.8258596658706665,1.19822125e-05,0.569940447807312,0.6068412065505981,0.7794250249862671
15,0.5347084999084473,0.5497338771820068,0.828859806060791,8.289999e-05,0.579365074634552,0.6103492379188538,0.7770524621009827
16,0.5258151888847351,0.5390480756759644,0.8310927748680115,8.245123e-05,0.5540674328804016,0.5987699031829834,0.7830678224563599
17,0.5280385613441467,0.5454027056694031,0.8222382068634033,8.1116e-05,0.5709325671195984,0.5940676331520081,0.7803438901901245
18,0.5340909361839294,0.5468339920043945,0.8179447054862976,7.892718e-05,0.567460298538208,0.5877985954284668,0.7790237665176392
19,0.539155125617981,0.5586410760879517,0.810006856918335,7.593867e-05,0.5605158805847168,0.6068052649497986,0.7766799926757812
20,0.5478013753890991,0.570658802986145,0.8015961050987244,7.2224044e-05,0.5813491940498352,0.6093972325325012,0.7726205587387085
21,0.5358201861381531,0.5532336235046387,0.8087595701217651,6.7874775e-05,0.5595238208770752,0.574039101600647,0.7899977564811707
22,0.5358201861381531,0.5501081943511963,0.8072766661643982,6.299795e-05,0.5605158805847168,0.5947248339653015,0.7778581976890564
23,0.5408843755722046,0.5563560724258423,0.7999793291091919,5.7713663e-05,0.5644841194152832,0.5954846739768982,0.775496780872345
24,0.5335968136787415,0.5536788702011108,0.801685631275177,5.2152023e-05,0.5634920597076416,0.6060855388641357,0.7715820074081421
