epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.502964437007904,0.5028910040855408,1.2347118854522705,1e-04,0.5,0.5066202282905579,1.0236146450042725
1,0.5023468136787415,0.5077489018440247,1.1428546905517578,9.140576e-05,0.4960317313671112,0.47761571407318115,1.0182585716247559
2,0.5058053135871887,0.5065836310386658,1.1120771169662476,6.890576e-05,0.4980158805847168,0.5313873291015625,0.9257403612136841
3,0.5074110627174377,0.5112051367759705,1.0912171602249146,4.1094223e-05,0.5381944179534912,0.5382739305496216,0.9253296256065369
4,0.5114871263504028,0.513804018497467,1.0764179229736328,1.8594232e-05,0.5520833134651184,0.55731201171875,0.9158151149749756
5,0.5065464377403259,0.5054423213005066,1.0984827280044556,9.0999994e-05,0.5436508059501648,0.5606545805931091,0.9915233254432678
6,0.5098814368247986,0.5121172666549683,1.0621801614761353,8.901778e-05,0.5213293433189392,0.5444959402084351,0.9166280627250671
7,0.5070405006408691,0.5054275989532471,1.0437790155410767,8.3265186e-05,0.5183531641960144,0.6067823767662048,1.0127733945846558
8,0.5090168118476868,0.5106788873672485,1.022505760192871,7.43053e-05,0.5257936716079712,0.5424214601516724,0.975548505783081
9,0.4992589056491852,0.49905017018318176,1.0161499977111816,6.301519e-05,0.4995039701461792,0.5170549154281616,0.9027666449546814
10,0.5039525628089905,0.5039575099945068,1.0000077486038208,5.049999e-05,0.5114087462425232,0.49663734436035156,0.9320772290229797
11,0.5211215615272522,0.5218819379806519,0.9832745790481567,3.7984802e-05,0.52182537317276,0.5475607514381409,0.892722487449646
12,0.5158102512359619,0.5209887027740479,0.9764533638954163,2.6694688e-05,0.5376983880996704,0.5652596950531006,0.8916987776756287
13,0.50951087474823,0.5110254287719727,0.974947988986969,1.7734816e-05,0.485615074634552,0.5705072283744812,0.8959783911705017
14,0.5191452503204346,0.5241551995277405,0.9678501486778259,1.19822125e-05,0.488095223903656,0.5308060646057129,0.9080247282981873
15,0.5167984366416931,0.5208351612091064,0.9658449292182922,8.289999e-05,0.526289701461792,0.5578842163085938,0.8905470967292786
16,0.5146986246109009,0.5184864401817322,0.9458680152893066,8.245123e-05,0.488095223903656,0.592571496963501,0.8758710026741028
17,0.510869562625885,0.5154790878295898,0.9331027865409851,8.1116e-05,0.5421627163887024,0.5800327062606812,0.8528485298156738
18,0.5266798138618469,0.5359995365142822,0.9098621010780334,7.892718e-05,0.5783730149269104,0.6034704446792603,0.8316519260406494
19,0.541872501373291,0.55777907371521,0.8832912445068359,7.593867e-05,0.47966268658638,0.6193498373031616,0.8389539122581482
20,0.5416254997253418,0.5583810210227966,0.8754487633705139,7.2224044e-05,0.543154776096344,0.6747044324874878,0.8114011883735657
21,0.5457015633583069,0.5680329203605652,0.8571288585662842,6.7874775e-05,0.5128968358039856,0.5257949829101562,7.031540870666504
22,0.553236186504364,0.5769063234329224,0.8395649194717407,6.299795e-05,0.5188491940498352,0.6459858417510986,0.8134317994117737
23,0.5813982486724854,0.6157708764076233,0.8122133612632751,5.7713663e-05,0.6339285969734192,0.6781516075134277,0.759563684463501
24,0.5836215615272522,0.6154871582984924,0.8080200552940369,5.2152023e-05,0.620039701461792,0.6775491237640381,0.7593485116958618
